databaseId1,CCAE,Germany_DA,MDCD,MDCR,OptumDod,OptumEHR,SIDIAP,UK_IMRD,US_Open_Claims,VAMOMOP
CCAE,1,0.7056591902065616,0.9356947891531529,0.910003612870397,0.8547441189128412,0.8335277347172456,0.5636039889509517,0.7493861235863417,0.7581033667419278,0.7111274237270614
Germany_DA,0.7056591902065616,1,0.6854116559667256,0.7548098234967704,0.813927311545776,0.8535394625939381,0.8080095060589308,0.7700938547051985,0.7381571951544948,0.4990760504445276
MDCD,0.9356947891531529,0.6854116559667256,1,0.8903115873572784,0.8683218263172072,0.7950666213676406,0.5906446174331711,0.7199806440165993,0.7980722431858926,0.7453540362916036
MDCR,0.910003612870397,0.7548098234967704,0.8903115873572784,1,0.8766711135148867,0.8336851668023131,0.5298346387750702,0.7385314039723114,0.8082627716435741,0.6113579038328092
OptumDod,0.8547441189128412,0.813927311545776,0.8683218263172072,0.8766711135148867,1,0.913683519448129,0.5898684322434656,0.753323075567208,0.9620811703633592,0.48540154871948155
OptumEHR,0.8335277347172456,0.8535394625939381,0.7950666213676406,0.8336851668023131,0.913683519448129,1,0.6379854213205061,0.8186557404139623,0.8769437892919855,0.5784895148142672
SIDIAP,0.5636039889509517,0.8080095060589308,0.5906446174331711,0.5298346387750702,0.5898684322434656,0.6379854213205061,1,0.575658641054555,0.539686211682917,0.6017935437130284
UK_IMRD,0.7493861235863417,0.7700938547051985,0.7199806440165993,0.7385314039723114,0.753323075567208,0.8186557404139623,0.575658641054555,1,0.6294540397201648,0.5957482356579908
US_Open_Claims,0.7581033667419278,0.7381571951544948,0.7980722431858926,0.8082627716435741,0.9620811703633592,0.8769437892919855,0.539686211682917,0.6294540397201648,1,0.4127768041000468
VAMOMOP,0.7111274237270614,0.4990760504445276,0.7453540362916036,0.6113579038328092,0.48540154871948155,0.5784895148142672,0.6017935437130284,0.5957482356579908,0.4127768041000468,1
