databaseId1,CCAE,Germany_DA,MDCD,MDCR,OptumDod,OptumEHR,SIDIAP,UK_IMRD,US_Open_Claims,VAMOMOP
CCAE,1,0.5898790863100583,0.6966067866637035,0.7281039269764937,0.8348331183360296,0.7955442558174561,0.7217470967221228,0.5148534522848277,0.8264105962235025,0.6649510229368704
Germany_DA,0.5898790863100583,1,0.6011051193021493,0.6463198376907033,0.6809492761018021,0.6592588942650172,0.6066840354860514,0.46528837831968906,0.6891809192387649,0.5899038062087771
MDCD,0.6966067866637035,0.6011051193021493,1,0.8446375137013342,0.8682472469794181,0.6890727525285056,0.7067807476357627,0.419433455192811,0.8888798457382678,0.8171732171848431
MDCR,0.7281039269764937,0.6463198376907033,0.8446375137013342,1,0.9116018451004382,0.7165785881345071,0.7552045834855808,0.4461284939240269,0.9166153258266682,0.8242835924628735
OptumDod,0.8348331183360296,0.6809492761018021,0.8682472469794181,0.9116018451004382,1,0.8174011009404116,0.8210554157747982,0.5264770186612665,0.9688479502664448,0.8612731104259203
OptumEHR,0.7955442558174561,0.6592588942650172,0.6890727525285056,0.7165785881345071,0.8174011009404116,1,0.6491472796547759,0.6148102777701985,0.8011075537453803,0.668918695865354
SIDIAP,0.7217470967221228,0.6066840354860514,0.7067807476357627,0.7552045834855808,0.8210554157747982,0.6491472796547759,1,0.36366768992349235,0.8291369349002297,0.7348253892176501
UK_IMRD,0.5148534522848277,0.46528837831968906,0.419433455192811,0.4461284939240269,0.5264770186612665,0.6148102777701985,0.36366768992349235,1,0.5065565213255893,0.44258861988656206
US_Open_Claims,0.8264105962235025,0.6891809192387649,0.8888798457382678,0.9166153258266682,0.9688479502664448,0.8011075537453803,0.8291369349002297,0.5065565213255893,1,0.8750548162108749
VAMOMOP,0.6649510229368704,0.5899038062087771,0.8171732171848431,0.8242835924628735,0.8612731104259203,0.668918695865354,0.7348253892176501,0.44258861988656206,0.8750548162108749,1
